user_id,candidate,ground_truth
1,256 1306 333 1486 1142 518 1247 2 924 933 1330 639 298 947 984 364 231 407 597 367,256
2,316 883 107 1295 63 1175 1085 145 1636 438 1617 428 60 1491 507 1650 1642 1349 855 983,316
3,181 741 1080 63 1235 228 1134 421 442 251 514 1256 67 239 1622 281 1147 769 178 1216,181
4,11 963 1586 588 926 1202 380 1514 683 1100 934 1108 1656 1652 954 837 1433 151 1570 1552,11
5,24 1211 942 1400 1261 67 1611 737 1311 560 764 523 1173 1146 1287 698 369 632 661 798,24
6,272 205 1277 369 1500 699 1252 697 1290 1442 372 2 853 1630 1412 1257 1341 1239 1269 1304,272
7,357 472 1303 1060 978 1327 779 903 1479 74 1309 1449 1110 1682 105 696 698 694 712 440,357
8,227 1335 949 1214 1606 340 565 1085 25 215 1233 929 432 321 383 1434 524 1538 683 567,227
9,483 1417 287 1516 1308 675 1539 765 318 829 485 1259 1559 944 1643 390 162 1065 323 510,483
10,340 1538 1026 814 1612 1552 1510 1374 1310 607 30 891 1655 1631 1226 900 925 1228 1142 836,340
11,51 594 155 347 697 1588 1125 1016 1350 961 1357 1352 941 765 764 275 1682 1374 570 1320,51
12,238 356 570 265 729 517 1561 340 1062 1382 415 1479 1100 1331 169 240 416 580 765 1672,238
13,916 1527 189 20 1466 367 1676 1481 1489 958 869 659 1659 760 1513 781 571 1580 162 1607,916
14,269 888 1216 1273 962 1540 1662 646 1226 608 1440 721 452 632 1015 1356 1383 1420 128 803,269
15,934 52 1584 1128 1558 1495 1235 994 1172 329 1466 1480 1329 212 1389 834 852 749 891 105,934
16,152 250 699 249 274 1191 992 1123 1230 869 256 619 308 801 1585 862 1670 1179 80 340,152
17,151 1128 1442 954 641 238 717 539 543 263 1393 1013 4 1487 1291 1557 660 620 1343 535,151
18,59 135 35 1540 24 1644 782 780 1516 1063 110 450 1668 927 1291 838 1402 888 1497 363,59
19,211 286 322 1266 1681 491 553 60 1361 1032 987 974 388 422 496 1265 1630 229 860 1500,211
20,87 592 314 255 1424 584 570 503 123 877 1107 1155 286 788 1351 1306 1463 460 441 97,87
21,675 1103 277 703 1052 638 845 18 114 653 306 54 456 764 335 587 628 1677 1342 37,675
22,250 307 178 334 1489 23 497 364 1068 1633 1340 1272 354 242 1197 121 475 1615 1423 1212,250
23,694 369 1468 280 158 1678 744 486 1391 835 309 729 1272 1561 937 1106 583 400 758 1226,694
24,655 442 1323 495 675 1159 487 679 694 1666 1364 361 1216 1015 808 946 82 1353 404 1422,655
25,204 315 282 1370 438 1607 109 755 681 1406 322 1224 1504 1169 465 1042 1105 913 1023 1317,204
26,1012 1322 249 833 1621 678 946 274 255 736 373 1650 242 1309 1348 1218 713 222 1235 41,1012
27,370 1329 20 543 167 1503 646 1417 1508 1574 1368 603 658 285 11 937 1067 150 1493 1165,370
28,223 473 1275 99 742 1389 307 1140 1512 1112 773 1403 1341 1385 732 1177 560 438 1317 1565,223
29,180 252 258 968 1475 398 1226 109 1540 1090 653 1659 1339 213 310 1457 456 673 392 1557,180
30,538 1080 916 395 840 1022 263 606 1595 1578 1657 408 365 416 1232 1336 1351 125 923 81,538
31,611 1487 274 1331 660 305 247 212 884 1564 1041 1241 907 999 1053 266 1658 657 625 341,611
