user_id,candidate,ground_truth
1,"[1293, 1124, 1533, 1386, 949, 775, 1575, 1235, 816, 998, 683, 256, 906, 1457, 1364, 895, 1352, 1112, 645, 719]",256
2,"[316, 896, 770, 711, 937, 46, 501, 481, 716, 90, 524, 474, 911, 1623, 593, 1225, 532, 729, 1598, 1098]",316
3,"[181, 202, 9, 410, 279, 952, 523, 402, 1479, 135, 772, 1244, 1496, 1627, 537, 363, 478, 1461, 734, 1455]",181
4,"[425, 96, 11, 1631, 472, 1139, 680, 1561, 1463, 1662, 1080, 482, 1210, 1413, 385, 1104, 820, 1039, 209, 751]",11
5,"[24, 77, 1322, 820, 751, 1290, 1395, 1606, 1392, 75, 544, 1441, 1469, 332, 302, 3, 1413, 294, 337, 1326]",24
6,"[1651, 1144, 10, 579, 1593, 1429, 394, 615, 942, 641, 668, 272, 364, 850, 1026, 45, 540, 1068, 1618, 898]",272
7,"[1417, 146, 290, 1033, 920, 1358, 731, 1072, 1286, 1660, 762, 1411, 1096, 734, 357, 464, 102, 1292, 1147, 531]",357
8,"[1, 522, 227, 1204, 1624, 240, 1285, 597, 943, 833, 1156, 453, 1505, 1113, 893, 368, 948, 1490, 1233, 290]",227
9,"[483, 536, 653, 443, 1196, 114, 1356, 606, 1638, 558, 478, 885, 1344, 1406, 982, 1426, 411, 980, 802, 1130]",483
10,"[1052, 1608, 532, 1665, 87, 340, 189, 228, 932, 1505, 1167, 506, 1438, 368, 293, 1408, 848, 1370, 762, 953]",340
11,"[297, 1471, 875, 1378, 854, 1388, 971, 272, 1603, 352, 1588, 584, 1513, 1502, 610, 787, 51, 447, 1026, 373]",51
12,"[1440, 521, 75, 996, 238, 1511, 912, 788, 56, 1314, 614, 1358, 1469, 563, 919, 1434, 1025, 359, 259, 1139]",238
13,"[1503, 1584, 1113, 1592, 283, 1636, 1278, 916, 1067, 1619, 925, 495, 36, 1305, 496, 1665, 658, 1537, 1256, 1213]",916
14,"[446, 666, 621, 464, 733, 385, 129, 1406, 806, 251, 1088, 1636, 269, 1370, 135, 45, 735, 1186, 367, 1028]",269
15,"[934, 1594, 483, 1456, 1024, 942, 271, 1122, 1146, 522, 1569, 314, 1536, 1032, 1119, 901, 1010, 1496, 1389, 101]",934
16,"[645, 627, 175, 45, 426, 46, 1019, 1596, 488, 815, 311, 152, 1452, 1166, 397, 1606, 674, 299, 1215, 53]",152
17,"[1609, 749, 1130, 1570, 151, 1414, 941, 1631, 1148, 571, 523, 1592, 915, 1583, 1069, 1210, 10, 78, 1300, 312]",151
18,"[1359, 1616, 1467, 452, 522, 615, 1114, 1551, 1233, 790, 1347, 1567, 1133, 1573, 59, 1064, 646, 696, 288, 1242]",59
19,"[170, 211, 1279, 571, 1031, 1325, 249, 686, 248, 1313, 554, 1209, 1386, 315, 1192, 759, 260, 730, 1511, 1133]",211
20,"[491, 601, 61, 1305, 102, 1571, 87, 894, 1668, 1230, 1101, 1092, 388, 1462, 991, 795, 366, 667, 485, 510]",87
21,"[1232, 675, 1653, 1514, 738, 1037, 662, 1208, 1471, 1324, 840, 383, 194, 1286, 1054, 366, 1169, 212, 1076, 476]",675
22,"[1534, 1342, 1051, 423, 353, 106, 689, 1617, 93, 505, 1679, 1031, 968, 250, 285, 113, 913, 207, 591, 1182]",250
23,"[906, 279, 242, 1261, 407, 694, 1066, 796, 941, 1082, 536, 1510, 1677, 716, 1209, 731, 982, 1577, 1675, 75]",694
24,"[146, 620, 1086, 498, 1432, 706, 982, 655, 931, 501, 22, 1391, 502, 1600, 1445, 1336, 1245, 1354, 762, 122]",655
25,"[1221, 400, 200, 1232, 607, 1283, 882, 1445, 243, 1626, 716, 1449, 1322, 152, 1645, 1448, 204, 1531, 1543, 313]",204
26,"[340, 94, 1112, 120, 821, 708, 647, 1361, 960, 989, 1457, 1012, 1092, 853, 1596, 38, 21, 133, 651, 1581]",1012
27,"[178, 1593, 80, 1267, 1055, 724, 1195, 119, 1528, 1128, 370, 524, 136, 857, 207, 70, 128, 1279, 251, 154]",370
28,"[496, 680, 356, 814, 1625, 1104, 65, 687, 990, 474, 1376, 885, 1102, 1239, 1556, 113, 223, 411, 52, 1593]",223
29,"[467, 1484, 1575, 1569, 122, 71, 576, 842, 1266, 180, 946, 476, 9, 1430, 1342, 17, 1561, 451, 1028, 219]",180
30,"[717, 637, 1182, 846, 538, 861, 1469, 160, 1633, 1067, 1555, 81, 709, 413, 1487, 937, 914, 691, 442, 1672]",538
31,"[1496, 23, 1384, 139, 197, 717, 453, 1016, 518, 72, 176, 1395, 1646, 743, 1368, 1099, 1286, 611, 1604, 794]",611
