item_id,metadata
1,"Title: Toy Story (1995) | Genres: Animation|3, Children's|4, Comedy|5"
2,"Title: GoldenEye (1995) | Genres: Action|1, Adventure|2, Thriller|16"
3,Title: Four Rooms (1995) | Genres: Thriller|16
4,"Title: Get Shorty (1995) | Genres: Action|1, Comedy|5, Drama|8"
5,"Title: Copycat (1995) | Genres: Crime|6, Drama|8, Thriller|16"
6,Title: Shanghai Triad (Yao a yao yao dao waipo qiao) (1995) | Genres: Drama|8
7,"Title: Twelve Monkeys (1995) | Genres: Drama|8, Sci-Fi|15"
8,"Title: Babe (1995) | Genres: Children's|4, Comedy|5, Drama|8"
9,Title: Dead Man Walking (1995) | Genres: Drama|8
10,"Title: Richard III (1995) | Genres: Drama|8, War|17"
11,"Title: Seven (Se7en) (1995) | Genres: Crime|6, Thriller|16"
12,"Title: Usual Suspects, The (1995) | Genres: Crime|6, Thriller|16"
13,Title: Mighty Aphrodite (1995) | Genres: Comedy|5
14,"Title: Postino, Il (1994) | Genres: Drama|8, Romance|14"
15,Title: Mr. Holland's Opus (1995) | Genres: Drama|8
16,"Title: French Twist (Gazon maudit) (1995) | Genres: Comedy|5, Romance|14"
17,"Title: From Dusk Till Dawn (1996) | Genres: Action|1, Comedy|5, Crime|6, Horror|11, Thriller|16"
18,"Title: White Balloon, The (1995) | Genres: Drama|8"
19,Title: Antonia's Line (1995) | Genres: Drama|8
20,"Title: Angels and Insects (1995) | Genres: Drama|8, Romance|14"
21,"Title: Muppet Treasure Island (1996) | Genres: Action|1, Adventure|2, Comedy|5, Musical|12, Thriller|16"
22,"Title: Braveheart (1995) | Genres: Action|1, Drama|8, War|17"
23,"Title: Taxi Driver (1976) | Genres: Drama|8, Thriller|16"
24,"Title: Rumble in the Bronx (1995) | Genres: Action|1, Adventure|2, Crime|6"
25,"Title: Birdcage, The (1996) | Genres: Comedy|5"
26,"Title: Brothers McMullen, The (1995) | Genres: Comedy|5"
27,Title: Bad Boys (1995) | Genres: Action|1
28,"Title: Apollo 13 (1995) | Genres: Action|1, Drama|8, Thriller|16"
29,"Title: Batman Forever (1995) | Genres: Action|1, Adventure|2, Comedy|5, Crime|6"
30,Title: Belle de jour (1967) | Genres: Drama|8
31,"Title: Crimson Tide (1995) | Genres: Drama|8, Thriller|16, War|17"
32,Title: Crumb (1994) | Genres: Documentary|7
33,"Title: Desperado (1995) | Genres: Action|1, Romance|14, Thriller|16"
34,"Title: Doom Generation, The (1995) | Genres: Comedy|5, Drama|8"
35,"Title: Free Willy 2: The Adventure Home (1995) | Genres: Adventure|2, Children's|4, Drama|8"
36,"Title: Mad Love (1995) | Genres: Drama|8, Romance|14"
37,Title: Nadja (1994) | Genres: Drama|8
38,"Title: Net, The (1995) | Genres: Sci-Fi|15, Thriller|16"
39,"Title: Strange Days (1995) | Genres: Action|1, Crime|6, Sci-Fi|15"
40,"Title: To Wong Foo, Thanks for Everything! Julie Newmar (1995) | Genres: Comedy|5"
41,Title: Billy Madison (1995) | Genres: Comedy|5
42,Title: Clerks (1994) | Genres: Comedy|5
43,"Title: Disclosure (1994) | Genres: Drama|8, Thriller|16"
44,"Title: Dolores Claiborne (1994) | Genres: Drama|8, Thriller|16"
45,"Title: Eat Drink Man Woman (1994) | Genres: Comedy|5, Drama|8"
46,Title: Exotica (1994) | Genres: Drama|8
47,"Title: Ed Wood (1994) | Genres: Comedy|5, Drama|8"
48,Title: Hoop Dreams (1994) | Genres: Documentary|7
49,"Title: I.Q. (1994) | Genres: Comedy|5, Romance|14"
50,"Title: Star Wars (1977) | Genres: Action|1, Adventure|2, Romance|14, Sci-Fi|15, War|17"
51,"Title: Legends of the Fall (1994) | Genres: Drama|8, Romance|14, War|17, Western|18"
52,"Title: Madness of King George, The (1994) | Genres: Drama|8"
53,"Title: Natural Born Killers (1994) | Genres: Action|1, Thriller|16"
54,"Title: Outbreak (1995) | Genres: Action|1, Drama|8, Thriller|16"
55,"Title: Professional, The (1994) | Genres: Crime|6, Drama|8, Romance|14, Thriller|16"
56,"Title: Pulp Fiction (1994) | Genres: Crime|6, Drama|8"
57,Title: Priest (1994) | Genres: Drama|8
58,Title: Quiz Show (1994) | Genres: Drama|8
59,Title: Three Colors: Red (1994) | Genres: Drama|8
60,Title: Three Colors: Blue (1993) | Genres: Drama|8
61,Title: Three Colors: White (1994) | Genres: Drama|8
62,"Title: Stargate (1994) | Genres: Action|1, Adventure|2, Sci-Fi|15"
63,"Title: Santa Clause, The (1994) | Genres: Children's|4, Comedy|5"
64,"Title: Shawshank Redemption, The (1994) | Genres: Drama|8"
65,"Title: What's Eating Gilbert Grape (1993) | Genres: Comedy|5, Drama|8"
66,"Title: While You Were Sleeping (1995) | Genres: Comedy|5, Romance|14"
67,Title: Ace Ventura: Pet Detective (1994) | Genres: Comedy|5
68,"Title: Crow, The (1994) | Genres: Action|1, Romance|14, Thriller|16"
69,"Title: Forrest Gump (1994) | Genres: Comedy|5, Romance|14, War|17"
70,"Title: Four Weddings and a Funeral (1994) | Genres: Comedy|5, Romance|14"
71,"Title: Lion King, The (1994) | Genres: Animation|3, Children's|4, Musical|12"
72,"Title: Mask, The (1994) | Genres: Comedy|5, Crime|6, Fantasy|9"
73,"Title: Maverick (1994) | Genres: Action|1, Comedy|5, Western|18"
74,"Title: Faster Pussycat! Kill! Kill! (1965) | Genres: Action|1, Comedy|5, Drama|8"
75,Title: Brother Minister: The Assassination of Malcolm X (1994) | Genres: Documentary|7
76,"Title: Carlito's Way (1993) | Genres: Crime|6, Drama|8"
77,"Title: Firm, The (1993) | Genres: Drama|8, Thriller|16"
78,"Title: Free Willy (1993) | Genres: Adventure|2, Children's|4, Drama|8"
79,"Title: Fugitive, The (1993) | Genres: Action|1, Thriller|16"
80,"Title: Hot Shots! Part Deux (1993) | Genres: Action|1, Comedy|5, War|17"
81,"Title: Hudsucker Proxy, The (1994) | Genres: Comedy|5, Romance|14"
82,"Title: Jurassic Park (1993) | Genres: Action|1, Adventure|2, Sci-Fi|15"
83,"Title: Much Ado About Nothing (1993) | Genres: Comedy|5, Romance|14"
84,"Title: Robert A. Heinlein's The Puppet Masters (1994) | Genres: Horror|11, Sci-Fi|15"
85,"Title: Ref, The (1994) | Genres: Comedy|5"
86,"Title: Remains of the Day, The (1993) | Genres: Drama|8"
87,Title: Searching for Bobby Fischer (1993) | Genres: Drama|8
88,"Title: Sleepless in Seattle (1993) | Genres: Comedy|5, Romance|14"
89,"Title: Blade Runner (1982) | Genres: Film-Noir|10, Sci-Fi|15"
90,"Title: So I Married an Axe Murderer (1993) | Genres: Comedy|5, Romance|14, Thriller|16"
91,"Title: Nightmare Before Christmas, The (1993) | Genres: Children's|4, Comedy|5, Musical|12"
92,"Title: True Romance (1993) | Genres: Action|1, Crime|6, Romance|14"
93,"Title: Welcome to the Dollhouse (1995) | Genres: Comedy|5, Drama|8"
94,"Title: Home Alone (1990) | Genres: Children's|4, Comedy|5"
95,"Title: Aladdin (1992) | Genres: Animation|3, Children's|4, Comedy|5, Musical|12"
96,"Title: Terminator 2: Judgment Day (1991) | Genres: Action|1, Sci-Fi|15, Thriller|16"
97,"Title: Dances with Wolves (1990) | Genres: Adventure|2, Drama|8, Western|18"
98,"Title: Silence of the Lambs, The (1991) | Genres: Drama|8, Thriller|16"
99,"Title: Snow White and the Seven Dwarfs (1937) | Genres: Animation|3, Children's|4, Musical|12"
100,"Title: Fargo (1996) | Genres: Crime|6, Drama|8, Thriller|16"
101,"Title: Heavy Metal (1981) | Genres: Action|1, Adventure|2, Animation|3, Horror|11, Sci-Fi|15"
102,"Title: Aristocats, The (1970) | Genres: Animation|3, Children's|4"
103,"Title: All Dogs Go to Heaven 2 (1996) | Genres: Animation|3, Children's|4, Musical|12"
104,Title: Theodore Rex (1995) | Genres: Comedy|5
105,Title: Sgt. Bilko (1996) | Genres: Comedy|5
106,"Title: Diabolique (1996) | Genres: Drama|8, Thriller|16"
107,Title: Moll Flanders (1996) | Genres: Drama|8
108,Title: Kids in the Hall: Brain Candy (1996) | Genres: Comedy|5
109,"Title: Mystery Science Theater 3000: The Movie (1996) | Genres: Comedy|5, Sci-Fi|15"
110,"Title: Operation Dumbo Drop (1995) | Genres: Action|1, Adventure|2, Comedy|5, War|17"
111,"Title: Truth About Cats & Dogs, The (1996) | Genres: Comedy|5, Romance|14"
112,"Title: Flipper (1996) | Genres: Adventure|2, Children's|4"
113,"Title: Horseman on the Roof, The (Hussard sur le toit, Le) (1995) | Genres: Drama|8"
114,Title: Wallace & Gromit: The Best of Aardman Animation (1996) | Genres: Animation|3
115,"Title: Haunted World of Edward D. Wood Jr., The (1995) | Genres: Documentary|7"
116,Title: Cold Comfort Farm (1995) | Genres: Comedy|5
117,"Title: Rock, The (1996) | Genres: Action|1, Adventure|2, Thriller|16"
118,"Title: Twister (1996) | Genres: Action|1, Adventure|2, Thriller|16"
119,Title: Maya Lin: A Strong Clear Vision (1994) | Genres: Documentary|7
120,"Title: Striptease (1996) | Genres: Comedy|5, Crime|6"
121,"Title: Independence Day (ID4) (1996) | Genres: Action|1, Sci-Fi|15, War|17"
122,"Title: Cable Guy, The (1996) | Genres: Comedy|5"
123,"Title: Frighteners, The (1996) | Genres: Comedy|5, Horror|11"
124,"Title: Lone Star (1996) | Genres: Drama|8, Mystery|13"
125,"Title: Phenomenon (1996) | Genres: Drama|8, Romance|14"
126,"Title: Spitfire Grill, The (1996) | Genres: Drama|8"
127,"Title: Godfather, The (1972) | Genres: Action|1, Crime|6, Drama|8"
128,"Title: Supercop (1992) | Genres: Action|1, Thriller|16"
129,"Title: Bound (1996) | Genres: Crime|6, Drama|8, Romance|14, Thriller|16"
130,Title: Kansas City (1996) | Genres: Crime|6
131,"Title: Breakfast at Tiffany's (1961) | Genres: Drama|8, Romance|14"
132,"Title: Wizard of Oz, The (1939) | Genres: Adventure|2, Children's|4, Drama|8, Musical|12"
133,"Title: Gone with the Wind (1939) | Genres: Drama|8, Romance|14, War|17"
134,Title: Citizen Kane (1941) | Genres: Drama|8
135,"Title: 2001: A Space Odyssey (1968) | Genres: Drama|8, Mystery|13, Sci-Fi|15, Thriller|16"
136,Title: Mr. Smith Goes to Washington (1939) | Genres: Drama|8
137,Title: Big Night (1996) | Genres: Drama|8
138,"Title: D3: The Mighty Ducks (1996) | Genres: Children's|4, Comedy|5"
139,"Title: Love Bug, The (1969) | Genres: Children's|4, Comedy|5"
140,"Title: Homeward Bound: The Incredible Journey (1993) | Genres: Adventure|2, Children's|4"
141,"Title: 20,000 Leagues Under the Sea (1954) | Genres: Adventure|2, Children's|4, Fantasy|9, Sci-Fi|15"
142,"Title: Bedknobs and Broomsticks (1971) | Genres: Adventure|2, Children's|4, Musical|12"
143,"Title: Sound of Music, The (1965) | Genres: Musical|12"
144,"Title: Die Hard (1988) | Genres: Action|1, Thriller|16"
145,"Title: Lawnmower Man, The (1992) | Genres: Action|1, Sci-Fi|15, Thriller|16"
146,Title: Unhook the Stars (1996) | Genres: Drama|8
147,"Title: Long Kiss Goodnight, The (1996) | Genres: Action|1, Thriller|16"
148,"Title: Ghost and the Darkness, The (1996) | Genres: Action|1, Adventure|2"
149,Title: Jude (1996) | Genres: Drama|8
150,"Title: Swingers (1996) | Genres: Comedy|5, Drama|8"
151,"Title: Willy Wonka and the Chocolate Factory (1971) | Genres: Adventure|2, Children's|4, Comedy|5"
152,"Title: Sleeper (1973) | Genres: Comedy|5, Sci-Fi|15"
153,"Title: Fish Called Wanda, A (1988) | Genres: Comedy|5"
154,Title: Monty Python's Life of Brian (1979) | Genres: Comedy|5
155,"Title: Dirty Dancing (1987) | Genres: Musical|12, Romance|14"
156,"Title: Reservoir Dogs (1992) | Genres: Crime|6, Thriller|16"
157,"Title: Platoon (1986) | Genres: Drama|8, War|17"
158,Title: Weekend at Bernie's (1989) | Genres: Comedy|5
159,"Title: Basic Instinct (1992) | Genres: Mystery|13, Thriller|16"
160,Title: Glengarry Glen Ross (1992) | Genres: Drama|8
161,"Title: Top Gun (1986) | Genres: Action|1, Romance|14"
162,Title: On Golden Pond (1981) | Genres: Drama|8
163,"Title: Return of the Pink Panther, The (1974) | Genres: Comedy|5"
164,"Title: Abyss, The (1989) | Genres: Action|1, Adventure|2, Sci-Fi|15, Thriller|16"
165,Title: Jean de Florette (1986) | Genres: Drama|8
166,Title: Manon of the Spring (Manon des sources) (1986) | Genres: Drama|8
167,Title: Private Benjamin (1980) | Genres: Comedy|5
168,Title: Monty Python and the Holy Grail (1974) | Genres: Comedy|5
169,"Title: Wrong Trousers, The (1993) | Genres: Animation|3, Comedy|5"
170,"Title: Cinema Paradiso (1988) | Genres: Comedy|5, Drama|8, Romance|14"
171,"Title: Delicatessen (1991) | Genres: Comedy|5, Sci-Fi|15"
172,"Title: Empire Strikes Back, The (1980) | Genres: Action|1, Adventure|2, Drama|8, Romance|14, Sci-Fi|15, War|17"
173,"Title: Princess Bride, The (1987) | Genres: Action|1, Adventure|2, Comedy|5, Romance|14"
174,"Title: Raiders of the Lost Ark (1981) | Genres: Action|1, Adventure|2"
175,Title: Brazil (1985) | Genres: Sci-Fi|15
176,"Title: Aliens (1986) | Genres: Action|1, Sci-Fi|15, Thriller|16, War|17"
177,"Title: Good, The Bad and The Ugly, The (1966) | Genres: Action|1, Western|18"
178,Title: 12 Angry Men (1957) | Genres: Drama|8
179,"Title: Clockwork Orange, A (1971) | Genres: Sci-Fi|15"
180,"Title: Apocalypse Now (1979) | Genres: Drama|8, War|17"
181,"Title: Return of the Jedi (1983) | Genres: Action|1, Adventure|2, Romance|14, Sci-Fi|15, War|17"
182,"Title: GoodFellas (1990) | Genres: Crime|6, Drama|8"
183,"Title: Alien (1979) | Genres: Action|1, Horror|11, Sci-Fi|15, Thriller|16"
184,"Title: Army of Darkness (1993) | Genres: Action|1, Adventure|2, Comedy|5, Horror|11, Sci-Fi|15"
185,"Title: Psycho (1960) | Genres: Horror|11, Romance|14, Thriller|16"
186,"Title: Blues Brothers, The (1980) | Genres: Action|1, Comedy|5, Musical|12"
187,"Title: Godfather: Part II, The (1974) | Genres: Action|1, Crime|6, Drama|8"
188,"Title: Full Metal Jacket (1987) | Genres: Action|1, Drama|8, War|17"
189,"Title: Grand Day Out, A (1992) | Genres: Animation|3, Comedy|5"
190,"Title: Henry V (1989) | Genres: Drama|8, War|17"
191,"Title: Amadeus (1984) | Genres: Drama|8, Mystery|13"
192,Title: Raging Bull (1980) | Genres: Drama|8
193,"Title: Right Stuff, The (1983) | Genres: Drama|8"
194,"Title: Sting, The (1973) | Genres: Comedy|5, Crime|6"
195,"Title: Terminator, The (1984) | Genres: Action|1, Sci-Fi|15, Thriller|16"
196,Title: Dead Poets Society (1989) | Genres: Drama|8
197,"Title: Graduate, The (1967) | Genres: Drama|8, Romance|14"
198,Title: Nikita (La Femme Nikita) (1990) | Genres: Thriller|16
199,"Title: Bridge on the River Kwai, The (1957) | Genres: Drama|8, War|17"
200,"Title: Shining, The (1980) | Genres: Horror|11"
201,"Title: Evil Dead II (1987) | Genres: Action|1, Adventure|2, Comedy|5, Horror|11"
202,"Title: Groundhog Day (1993) | Genres: Comedy|5, Romance|14"
203,Title: Unforgiven (1992) | Genres: Western|18
204,"Title: Back to the Future (1985) | Genres: Comedy|5, Sci-Fi|15"
205,"Title: Patton (1970) | Genres: Drama|8, War|17"
