user_id,predicted
1,"[775, 895, 949]"
2,"[316, 474, 593]"
3,"[181, 402, 9]"
4,"[96, 209, 751]"
5,"[302, 24, 294]"
6,"[615, 45, 10]"
7,"[357, 290, 531]"
8,"[1, 227, 240]"
9,"[483, 606, 982]"
10,"[228, 87, 293]"
11,"[584, 51, 971]"
12,"[56, 238, 521]"
13,"[496, 283, 658]"
14,"[135, 385, 735]"
15,"[483, 1119, 271]"
16,"[175, 815, 45]"
17,"[151, 523, 10]"
18,"[59, 615, 288]"
19,"[211, 315, 170]"
20,"[87, 510, 485]"
21,"[194, 476, 662]"
22,"[423, 591, 207]"
23,"[716, 279, 242]"
24,"[22, 655, 498]"
25,"[204, 313, 200]"
26,"[1012, 651, 133]"
27,"[70, 178, 154]"
28,"[496, 474, 411]"
29,"[180, 9, 71]"
30,"[1469, 637, 717]"
31,"[197, 23, 176]"
32,"[208, 107, 628]"
33,"[881, 739, 1464]"
34,"[300, 56, 673]"
35,"[752, 455, 482]"
36,"[515, 313, 111]"
37,"[172, 100, 186]"
38,"[204, 282, 245]"
39,"[288, 984, 82]"
40,"[83, 754, 237]"
41,"[246, 678, 520]"
42,"[298, 171, 223]"
43,"[87, 164, 316]"
44,"[183, 273, 713]"
45,"[275, 406, 10]"
46,"[235, 215, 125]"
47,"[327, 117, 892]"
48,"[475, 302, 589]"
49,"[155, 87, 132]"
50,"[603, 678, 123]"
51,"[83, 68, 497]"
52,"[69, 276, 191]"
53,"[523, 732, 327]"
54,"[298, 134, 633]"
55,"[79, 520, 789]"
56,"[410, 633, 128]"
57,"[191, 55, 490]"
58,"[855, 191, 224]"
59,"[31, 26, 255]"
60,"[302, 386, 177]"
61,"[1434, 347, 692]"
62,"[656, 102, 142]"
63,"[1035, 202, 429]"
64,"[651, 382, 1036]"
65,"[185, 218, 420]"
66,"[42, 249, 408]"
67,"[742, 117, 410]"
68,"[257, 178, 313]"
69,"[12, 210, 403]"
70,"[213, 276, 408]"
71,"[197, 152, 1142]"
72,"[66, 198, 856]"
73,"[215, 285, 333]"
74,"[508, 528, 123]"
75,"[228, 89, 196]"
76,"[427, 141, 1469]"
77,"[713, 225, 340]"
78,"[4, 237, 664]"
79,"[7, 4, 128]"
80,"[508, 69, 237]"
81,"[960, 41, 3]"
82,"[258, 219, 310]"
83,"[298, 183, 399]"
84,"[479, 385, 792]"
85,"[96, 182, 633]"
86,"[100, 683, 452]"
87,"[316, 250, 676]"
88,"[326, 683, 419]"
89,"[187, 974, 628]"
90,"[230, 385, 419]"
91,"[655, 521, 230]"
92,"[480, 529, 307]"
93,"[235, 221, 519]"
94,"[517, 856, 1132]"
95,"[559, 659, 751]"
96,"[276, 302, 752]"
97,"[24, 14, 367]"
98,"[172, 25, 285]"
99,"[228, 157, 433]"
100,"[272, 31, 971]"
101,"[290, 866, 14]"
102,"[202, 480, 423]"
103,"[96, 278, 492]"
104,"[50, 217, 482]"
105,"[327, 175, 537]"
106,"[418, 85, 313]"
107,"[483, 813, 658]"
108,"[185, 215, 290]"
109,"[290, 497, 656]"
110,"[497, 134, 94]"
111,"[286, 111, 1009]"
112,"[293, 205, 339]"
113,"[224, 615, 658]"
114,"[69, 7, 161]"
115,"[195, 385, 178]"
116,"[184, 1197, 616]"
117,"[298, 55, 189]"
118,"[15, 238, 715]"
119,"[290, 133, 126]"
120,"[405, 209, 193]"
121,"[155, 213, 410]"
122,"[185, 275, 94]"
123,"[276, 71, 431]"
124,"[195, 234, 163]"
125,"[15, 948, 77]"
126,"[100, 15, 591]"
127,"[269, 62, 60]"
128,"[509, 88, 866]"
129,"[14, 783, 179]"
130,"[180, 620, 225]"
131,"[482, 664, 433]"
132,"[207, 664, 72]"
133,"[333, 603, 1149]"
134,"[1, 4, 272]"
135,"[237, 268, 596]"
136,"[651, 83, 48]"
137,"[514, 746, 272]"
138,"[156, 197, 144]"
139,"[127, 367, 945]"
140,"[276, 880, 238]"
141,"[59, 83, 300]"
142,"[156, 222, 42]"
143,"[325, 589, 958]"
144,"[480, 25, 11]"
145,"[705, 178, 781]"
146,"[323, 127, 70]"
147,"[301, 1035, 637]"
148,"[15, 435, 23]"
149,"[340, 483, 807]"
150,"[228, 410, 756]"
151,"[240, 708, 636]"
152,"[603, 13, 178]"
153,"[258, 507, 685]"
154,"[187, 435, 212]"
155,"[306, 334, 71]"
156,"[127, 144, 328]"
157,"[318, 591, 58]"
158,"[290, 91, 692]"
159,"[71, 153, 749]"
160,"[302, 429, 684]"
161,"[7, 69, 86]"
162,"[756, 307, 512]"
163,"[98, 208, 603]"
164,"[95, 476, 775]"
165,"[66, 13, 302]"
166,"[446, 291, 186]"
167,"[31, 752, 134]"
168,"[298, 514, 8]"
169,"[185, 191, 430]"
170,"[919, 157, 17]"
171,"[272, 283, 135]"
172,"[200, 288, 582]"
173,"[276, 292, 72]"
174,"[85, 238, 523]"
175,"[88, 642, 1217]"
176,"[187, 208, 82]"
177,"[97, 192, 763]"
178,"[514, 660, 270]"
179,"[301, 318, 452]"
180,"[98, 31, 178]"
181,"[496, 705, 504]"
182,"[273, 591, 111]"
183,"[222, 819, 780]"
184,"[432, 650, 488]"
185,"[125, 287, 369]"
186,"[228, 98, 143]"
187,"[187, 742, 547]"
188,"[186, 129, 449]"
189,"[402, 655, 604]"
190,"[89, 405, 496]"
191,"[111, 874, 143]"
192,"[172, 705, 530]"
193,"[87, 136, 470]"
194,"[428, 737, 977]"
195,"[216, 529, 684]"
196,"[682, 1451, 399]"
197,"[423, 191, 943]"
198,"[42, 170, 550]"
199,"[194, 14, 720]"
200,"[403, 153, 277]"
201,"[227, 449, 277]"
202,"[1035, 58, 79]"
203,"[183, 123, 367]"
204,"[187, 305, 427]"
205,"[580, 748, 995]"
206,"[302, 919, 295]"
207,"[302, 408, 762]"
208,"[276, 408, 739]"
209,"[83, 242, 207]"
210,"[385, 94, 171]"
211,"[117, 68, 184]"
212,"[511, 249, 213]"
213,"[9, 31, 233]"
214,"[98, 432, 1048]"
215,"[428, 241, 226]"
216,"[216, 277, 650]"
217,"[87, 449, 519]"
218,"[132, 109, 203]"
219,"[172, 657, 709]"
220,"[127, 283, 124]"
221,"[751, 615, 28]"
222,"[274, 612, 346]"
223,"[155, 433, 169]"
224,"[24, 431, 1012]"
225,"[24, 604, 936]"
226,"[514, 315, 250]"
227,"[258, 265, 1008]"
228,"[276, 192, 642]"
229,"[56, 116, 249]"
230,"[100, 414, 106]"
231,"[720, 208, 14]"
232,"[87, 4, 185]"
233,"[157, 313, 570]"
234,"[152, 94, 62]"
235,"[216, 184, 52]"
236,"[79, 136, 582]"
237,"[174, 71, 651]"
238,"[475, 293, 96]"
239,"[546, 591, 763]"
240,"[245, 1035, 634]"
241,"[292, 308, 329]"
242,"[270, 474, 268]"
243,"[70, 8, 521]"
244,"[1664, 284, 47]"
